title,headline,media,inspiration,what_it_does,how_we_built_it,challenges,accomplishments,lessons,whats_next,built_with,demos
Waltham BGC,"
    Auto-texting by languange
  ",,,,,,,,,"['django', 'python', 'twilio']",['https://docs.google.com/presentation/d/13Ztbj35nWSrTUWOSnFWQswfA7vCWE0owrggaGfjZsOc/edit?usp=sharing']
Chamber Of Commerce,"
    Our website is a way for Waltham's Chamber of Commerce to better utilize their resources for both members and users in the community. 
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/176/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/177/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/178/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/179/datas/gallery.jpg', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/176/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/177/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/178/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/000/934/179/datas/original.png']",Helping the Waltham COC,Connects users and members of the waltham coc in a productive way,,,,,,,['https://docs.google.com/presentation/d/1vc0_M7COObcoOpIr3GBJx9uz0B-Rf-WiMRsFsfBDpTU/edit?usp=sharing']
More Than Words: Comprehensive Marketing Plan,"
    A comprehensive marketing plan and analysis impacting the sourcing of books and housing for youth. ""More Than Words Empowers Youth. Let Us Empower You.""
  ",,,,,,,,,"['adobe-illustrator', 'api', 'excel', 'html5', 'photoshop', 'premiere', 'python', 'tweepy', 'twitter']",['https://docs.google.com/presentation/d/1cU54MOHtG3GnmnsjlkfFIJNfVTziqMfmyjPDnUiLLfA/edit?usp=sharing']
Leland Home,"
    Adding 360 virtual tours to the Leland Google Map Page
  ",,,,,,,,,"['google-streetview', 'panoskin']",['https://docs.google.com/presentation/d/19DjkNuIkxTGisOs-iFd75zqrBywRGEi8_E8Zyiwgw20/edit?usp=sharing']
Opportunities for Inclusion,"
    tackling the challenges related to the school to work transitions program
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1r7O8u8tLJmaBwZyEuoFRqDz4fGqs1TYAsWFgcLYvoOw/edit?usp=sharing']
Land's Sake,"
    Connecting people to the Land
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1bf1FZn9UIkDJ828tCUZBhawAHEEjnejIU2IPKv32ktI/edit?usp=sharing']
BTPA MaxImpact,"
    Maximizing internal and external impact through curriculum refinement, counseling, and expansion
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1X9WV3qDX6Tewi0W6GYtlPOhYGTafkJ5YDVqkju90XFg/edit#slide=id.g7de8c0537b_0_20']
Watch CDC: Connections4Good,"
    https://docs.google.com/presentation/d/1Czi1dbYC9WeTe2Apjs4FEQGBsBYgQ8jrTMSZpkKf1Q4/edit?usp=sharing
  ",,,,,,,,,"['css', 'html', 'python']",['https://docs.google.com/presentation/d/1Czi1dbYC9WeTe2Apjs4FEQGBsBYgQ8jrTMSZpkKf1Q4/edit?usp=sharing']
Hope Worldwide,"
    A tech-based curriculum for Hope Worldwide's Saturday Academy based on the best tech available at Brandeis, including a readily accessible tutorial website.
  ",,,,,,,,,,
Museum in a Box,"
    A gift to small museums to help them thrive in today's environment
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1YxxQV4hrZaNC5vKXGAycvX5ErNIdJ_lD/edit#slide=id.p6']
Friends of the Waltham Family School,"
    Building Community with the Friends of the Waltham Family School
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1ACz7A_0cAAdUFcyWCFU9MhqZEkhOlnyfdYya6LUot5g/edit?usp=sharing']
Charles River Community Health,"
    To attract young board members through a Board Boot Camp and a Board Fair sponsored by Brandeis Alumni Association as well as to expand Charles River Community Health services to serve more patients
  ",,,,,,,,,,
Charles River Museum of Industry and Innovation,"
    Charles River Museum of Industry and Innovation: Immersive Educational Experience for All Ages
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1W_OUSX7akBB3MEOjyNe87_mwABWzwLbUIjkMu7H_IWQ/edit?usp=sharing']
Rotary International,"
    Modern website for a modern service club!
  ",,,,,,,,,['gimp'],
Clipper Ship Foundation ,"
    Creating strategic partnerships to maximize impact in our communities. 
  ",,,,,,,,,,['https://docs.google.com/presentation/d/1q4GvSeBzc1iO7hKMz0tXVl3QqAW3cOG83SIN2DZCGCI/edit?usp=sharing']
